date,open,high,low,close,volume
2024-08-28,81.993,82.155,79.943,80.511,11738630
2024-08-29,81.84,82.696,79.374,79.732,12436700
2024-08-30,82.359,82.3765,80.3035,82.101,12429340
2024-09-03,80.556,80.6645,76.151,76.572,16690300
2024-09-04,75.253,77.282,74.277,76.444,9433760
2024-09-05,75.025,76.9,74.768,75.592,8197090
2024-09-06,75.252,75.6385,73.018,73.383,15529520
2024-09-09,74.289,74.4155,72.3,73.431,11505820
2024-09-10,73.854,74.025,71.662,73.156,13517780
2024-09-11,73.2,76.91,72.241,76.685,22201560
2024-09-12,76.534,76.55,74.349,74.778,15075270
2024-09-13,75.579,77.255,75.3995,76.972,8715480
2024-09-16,75.1455,76.065,74.5,75.847,12521280
2024-09-17,77.256,77.6,75.7,76.604,11457930
2024-09-18,77.97,78,75.267,75.587,11522910
2024-09-19,79.58,80.065,78.311,78.907,15943300
2024-09-20,77.625,78,76.15,77.319,29262350
2024-09-23,77.701,78.5865,77.32,78.408,7389470
2024-09-24,79.6,79.799,78.14,79.106,9897410
2024-09-25,78.9,81.282,78.827,80.375,11679910
2024-09-26,86.2575,86.319,82.5,84.75,20679680
2024-09-27,85.381,85.381,82.078,82.712,13894580
2024-09-30,82.159,83.099,80.414,81.608,11001520
2024-10-01,81.751,82.185,78.687,79.738,14368020
2024-10-02,80.4,83.037,79.997,81.409,14324110
2024-10-03,79.93,82.121,79.88,81.11,6725809
2024-10-04,82.97,83.09,80.49,81.54,7589684
2024-10-07,80.58,81.42,80.06,80.61,7542706
2024-10-08,80.7,81.61,79.8,81.01,6913459
2024-10-09,80.76,83.46,80.72,82.86,9078571
2024-10-10,81.54,82.95,81.02,82.06,7159542
2024-10-11,81.49,83.74,81.28,82.89,6530339
2024-10-14,83.77,86.3,83.76,85.7,8155025
2024-10-15,85.795,86.56,75.91,76.36,25611343
2024-10-16,77.15,77.5,73.8701,74.14,20469238
2024-10-17,76.46,76.6,73.03,73.14,20940600
2024-10-18,74.23,74.23,72.45,72.84,18493382
2024-10-21,72.62,73.1,72.085,72.84,12374947
2024-10-22,72.67,73.405,71.43,73,13306993
2024-10-23,72.37,73.465,71.56,72.86,20569103
2024-10-24,76.18,77.48,74.45,76.57,23196197
2024-10-25,77.47,79.6,77.08,77.68,14591080
2024-10-28,77.165,78.03,75.18,75.45,10175835
2024-10-29,75.85,78.74,75.44,78.31,12540791
