date,open,high,low,close,volume
2024-11-26,69.37,73.24,69.36,73.02,10728109
2024-11-27,73.04,73.48,70.6,71.5,10284501
2024-11-29,72,73.65,71.67,72.99,2756262
2024-12-02,73.18,73.92,72.67,73.43,5392654
2024-12-03,73.11,74.11,70.19,71.69,5377689
2024-12-04,72.59,72.59,70.59,72.34,4170096
2024-12-05,72.35,73.83,71.935,72.11,3116274
2024-12-06,72.41,72.68,70.6701,71.07,3760717
2024-12-09,70.97,71.795,70.64,70.74,3124607
2024-12-10,70.8,70.99,68.31,68.82,3300217
2024-12-11,69.7,70.4,69.16,69.9,2580929
2024-12-12,69.9,70.035,64.99,65.99,9876740
2024-12-13,66.23,66.27,64.7,65.12,7996985
2024-12-16,64.53,66.6,64.05,65.3,5393003
2024-12-17,65.2,66.01,64.57,64.64,3918120
2024-12-18,66.44,67.2,63.1,63.54,5550309
2024-12-19,61.92,62.31,59.41,59.62,13538859
2024-12-20,59.21,61.45,58.99,60.24,12732690
2024-12-23,60.01,61.61,60.01,61.56,4111354
2024-12-24,61.36,61.75,61.12,61.7,1512128
2024-12-26,61.51,62.2,61.47,61.71,2146125
2024-12-27,61.37,61.61,60.4,60.7,4161957
2024-12-30,59.66,60.135,58.82,59.62,4410166
2024-12-31,59.67,60.46,59.37,59.63,3935195
2025-01-02,59.86,62.85,59.86,61.87,5272899
2025-01-03,62.05,64.12,62.05,64.07,4145498
2025-01-06,65.3,67.465,65.265,65.65,6633215
2025-01-07,65.86,66.63,64.79,64.87,4522113
2025-01-08,64.1,64.85,63.39,64.06,4616581
2025-01-10,63.11,63.78,61.285,62.82,4653281
2025-01-13,61.76,62.92,61.36,62.02,3951849
2025-01-14,62.47,63.2,61.91,62.74,4478381
2025-01-15,64.06,65.76,64,64.63,5007167
2025-01-16,64.34,65.06,63.41,64.25,5310279
2025-01-17,65.335,66.34,63.8,65.04,7160505
2025-01-21,65.63,68.185,65.29,67.43,7045600
2025-01-22,68.5,70.49,68.28,68.63,9340485
2025-01-23,67.61,68.98,67.457,68.68,7059509
2025-01-24,68.91,69.44,67.36,67.41,6046619
2025-01-27,65.61,65.61,62.94,64.4,7592341
2025-01-28,64.57,64.69,61.82,62.87,7293685
2025-01-29,63.73,64.15,62.39,62.8,10666627
2025-01-30,66.45,67.59,63.7,65.78,16554238
2025-01-31,65.2,67.96,64.8318,65.13,8220492
2025-02-03,64.032,66.28,63.54,64.42,6359804
2025-02-04,63.83,65.26,63.305,63.81,5171154
2025-02-05,63.81,65.26,63.41,64.72,5341825
2025-02-06,64.91,65.465,64.155,64.48,3073190
