date,open,high,low,close,volume
2025-04-22,68.68,70.15,67.84,69.33,3033401
2025-04-23,72.97,75.251,72.13,72.49,2680507
2025-04-24,73.5,80.05,73.3,79.71,4460990
2025-04-25,78.74,81.65,77.32,80.73,2811351
2025-04-28,80.6,81.11,77.44,79.85,2290161
2025-04-29,79.28,80.13,78.3859,78.69,1631835
2025-04-30,76.27,79.415,75.43,79.12,1824583
2025-05-01,79.99,80.85,78.34,79.3,2141099
2025-05-02,81.285,84.33,81.285,83.41,2901384
2025-05-05,82.145,85.01,81.92,83.89,2197976
2025-05-06,82.11,84.15,81.53,83.03,3542819
2025-05-07,77.875,78.46,70.921,78.39,9248929
2025-05-08,80.12,81.95,76.97,77.08,7647567
2025-05-09,78.12,78.92,74.85,76.36,3241709
2025-05-12,82.12,83.83,80.19,82.39,7413513
2025-05-13,82.33,84.56,81.77,83.14,4035690
2025-05-14,83.27,84.5,81.2,81.78,2432587
2025-05-15,80.64,81.77,78.3,78.53,3284046
2025-05-16,78.25,78.67,77.01,78.24,2972688
2025-05-19,76.16,77.435,75.01,75.53,2856956
2025-05-20,75,77.21,74.51,76.27,3008383
2025-05-21,75.04,75.92,71.85,72.43,3333396
2025-05-22,72.22,73.99,71.66,73.17,2326801
2025-05-23,70.32,72.71,70.025,72.34,2879724
2025-05-27,74.18,76.06,73.14,74.93,4190320
2025-05-28,75.05,75.05,72.48,72.63,2679791
2025-05-29,73.91,73.91,71.32,72.42,3594904
2025-05-30,70.95,71.19,67.53,68.74,6155699
2025-06-02,68.42,68.82,66.315,68.38,3625708
2025-06-03,68.36,72.01,66.72,71.81,4006206
2025-06-04,72.49,73.84,71.49,72.62,3367866
2025-06-05,72.19,74.13,71.14,72.02,4170776
2025-06-06,73.36,74.95,72.24,72.92,3757422
2025-06-09,74.7,79.47,74.695,78.47,5699032
2025-06-10,79.31,81.16,78.245,79.63,5937547
2025-06-11,81.05,81.13,77.39,78.48,3626717
2025-06-12,78.055,79.64,77.59,79.62,3378414
2025-06-13,76.89,78.49,75.05,75.34,3669721
2025-06-16,77.39,79.58,76.21,78.25,3396029
2025-06-17,77.04,78.46,76.42,76.55,2210346
2025-06-18,76.67,77.87,75.89,76.24,2754094
2025-06-20,77.01,77.27,74.39,75.42,3567234
2025-06-23,75.32,76.52,73.2,75.97,2175672
2025-06-24,78.05,81.9,77.32,81.73,4253376
2025-06-25,81.63,82.545,80.505,82.15,2661104
2025-06-26,82.97,84.18,82.02,83.65,4071583
2025-06-27,83.65,84.6,81.17,82.38,5939311
2025-06-30,82.54,83.16,80.28,80.65,2348094
2025-07-01,79.98,83.65,78.39,82.34,3226886
2025-07-02,82.95,86.69,82.18,86.46,3539144
2025-07-03,86.86,87.31,85.56,86.64,1922883
2025-07-07,85.09,86.84,82.94,83,2434173
2025-07-08,84.28,88.861,84.22,87.02,3014397
2025-07-09,86.62,88.4799,85.7917,86.99,1513185
2025-07-10,86.75,89.01,85.5,88,2249992
2025-07-11,86.3,88.28,86.12,87.58,1662809
2025-07-14,85.77,86.945,83.73,86.23,1646791
2025-07-15,88.95,89.86,87.44,87.47,2195542
2025-07-16,86.79,87.63,83.47,87.49,1968295
2025-07-17,87.49,90.74,86.55,90.27,2475886
2025-07-18,91.16,92,89.55,90.75,1960608
2025-07-21,91.86,93.06,91.22,91.64,2551217
2025-07-22,91.23,92.54,90.225,92,2369581
2025-07-23,93.19,93.59,90.43,91.62,2522892
2025-07-24,91.15,92.22,89.72,91.12,2430746
2025-07-25,90.98,92.51,89.56,91.85,2435924
2025-07-28,92.7,93.49,91.61,92,3491560
2025-07-29,92,93.87,90.645,92.85,5391155
2025-07-30,83.86,86.9,78.99,79.34,7788292
2025-07-31,78.29,80.42,77.4442,78.46,6322852
2025-08-01,75.7,76.68,72.94,75.66,5561091
2025-08-04,76,76.32,73.51,73.68,2895051
2025-08-05,73.87,74.215,72.18,73.34,3024914
2025-08-06,72.78,73.05,70.35,72.23,3043911
2025-08-07,74.68,75.75,72.43,73.43,1812225
2025-08-08,73.98,74.15,72.69,73.14,1793385
2025-08-11,74.04,75.13,71.871,72.03,1917066
2025-08-12,73.14,76.4,72.09,75.97,3003595
2025-08-13,76.02,80.115,75.76,79.88,1980177
2025-08-14,78.46,79.61,77,78.87,1821713
2025-08-15,77.83,78.45,76.37,77.12,2142381
2025-08-18,79.32,80.4799,78.18,78.41,1932491
2025-08-19,80.105,81.75,79.42,80.47,2909069
2025-08-20,80.24,80.7009,77.01,79.41,2998005
2025-08-21,79.01,82.44,79.01,82.09,2652984
