date,open,high,low,close,volume
2024-08-28,97.36,97.6847,92.7,94.86,25564297
2024-08-29,96.56,97.98,94.99,95.57,18984288
2024-08-30,96.92,98.4129,94.99,96.24,18819367
2024-09-03,93.63,93.8799,88.31,88.58,28897236
2024-09-04,88.36,90.73,87.81,89.29,16356537
2024-09-05,88.1,90.7,87.76,89.39,13890660
2024-09-06,89.37,89.65,85.26,86.38,23587097
2024-09-09,87.85,87.96,85.01,86.27,20526393
2024-09-10,86.97,87.19,84.87,86.85,17019016
2024-09-11,88.2,90.83,86.08,90.65,20879599
2024-09-12,87.1,88.03,84.12,87.21,30982533
2024-09-13,88.09,91.47,87.87,91.22,21267222
2024-09-16,87.24,88.24,85.92,87.18,26494332
2024-09-17,88.06,89.57,87.5401,88.73,17744764
2024-09-18,87.99,89.2,86.71,87.35,20130596
2024-09-19,89.35,90.39,87.58,89.25,25208917
2024-09-20,88.4,90.97,88.33,90.9,28711000
2024-09-23,92.675,94.8,92.58,93.57,23394101
2024-09-24,94.73,95,92.76,94,23043237
2024-09-25,94.16,96.175,93.93,95.77,54762883
2024-09-26,113.1,114.8,107.53,109.88,107965892
2024-09-27,110.5,110.97,107.03,107.5,42960180
2024-09-30,106.08,106.7483,102.26,103.71,39627713
2024-10-01,103.4,104.2,98.94,100.31,34309766
2024-10-02,100.59,102.12,99.33,99.85,26334893
2024-10-03,99.47,102.53,99.4,101.82,22176651
2024-10-04,103.65,104.2399,101.4,102.25,21945805
2024-10-07,102.16,104.5932,100.81,102.91,21749278
2024-10-08,102.18,102.94,101.26,102.54,18858267
2024-10-09,102.25,102.29,100.322,101.7,18442718
2024-10-10,101.37,106.58,100.845,105.69,27605588
2024-10-11,105.04,107.65,104.9915,106.92,19133928
2024-10-14,107.805,108.71,106.8,108.34,15021917
2024-10-15,107.86,109.49,102.71,104.32,23419132
2024-10-16,106.02,109.63,105.61,109.24,20450884
2024-10-17,111.34,114.14,111.01,112.05,26584811
2024-10-18,111.75,112.9,109.86,111.15,16700370
2024-10-21,111.1,111.14,107.69,109.08,14829420
2024-10-22,108.24,108.515,106.37,107.82,13758061
2024-10-23,106.564,107.1,103.54,105.05,15174706
2024-10-24,106.775,107.53,105.545,106.85,13206263
2024-10-25,108.34,109.88,107.72,107.91,12264950
2024-10-28,106.78,108.18,106.32,106.39,12381045
2024-10-29,106.585,108.75,105.6037,108.18,15164581
2024-10-30,106.26,106.8,103.64,104.08,14321780
2024-10-31,102.2,102.49,99.0707,99.65,19830324
2024-11-01,100,100.61,99.37,99.73,13623350
2024-11-04,101.5,103.7867,101.0011,101.73,15765848
2024-11-05,102,105.62,101.79,105.49,12071905
2024-11-06,108.38,112.32,107,111.83,20304531
2024-11-07,112.5586,113.86,111.37,113.41,13569838
2024-11-08,112.14,114.3,110.565,111.9,13045721
2024-11-11,110.945,111.51,106.77,108.65,14479681
2024-11-12,105,105.09,102.07,104.1,21859729
2024-11-13,102.8,103.3402,99.82,99.92,18416175
2024-11-14,101.29,102.29,98.56,99.18,18459749
2024-11-15,97.55,98.2,95.6374,96.34,18518298
2024-11-18,96.545,98.07,95.53,97.51,14251177
2024-11-19,97,98.18,96.51,97.73,14160307
2024-11-20,97.975,98.53,96.53,98.37,10490585
2024-11-21,100.095,103.2864,98.062,102.76,18915150
2024-11-22,102.36,103.71,101.65,102.64,12063730
2024-11-25,103.85,106.4,103.81,104.48,22837895
2024-11-26,104,104.72,100.31,101.8,19275679
2024-11-27,100.94,101.04,96.635,98.2,17046441
2024-11-29,97.24,98.2,96.1,97.95,13729436
2024-12-02,97.6,100.09,97.53,98.55,16525553
2024-12-03,101.12,103.68,99.63,99.84,23479706
2024-12-04,100.77,103.41,99.8,103.2,16306240
2024-12-05,103.875,104.2498,100.61,100.87,13448928
2024-12-06,100.88,102.19,100.03,101.17,12381020
2024-12-09,100.65,104.5,100.37,102.82,14141937
2024-12-10,104.96,105,97.2701,98.1,23548508
2024-12-11,99.5,102.66,98.3,102.055,15248381
2024-12-12,101.4,101.98,97.76,98.24,19334854
2024-12-13,100.765,103.2,99.6651,102.5,23926017
2024-12-16,105.61,111.13,104.54,108.26,42741152
2024-12-17,109.75,110.49,107.68,108.6,35811475
2024-12-18,110.25,112.04,102.73,103.9,63024283
2024-12-19,90.075,91,84.61,87.09,91396777
2024-12-20,85.4063,90.25,83.54,90.12,49578449
2024-12-23,90,91.1,88.4,89.72,26041473
2024-12-24,89.58,89.7,88.23,89.28,13021257
2024-12-26,88.5,90.63,88.1,89.82,14506092
2024-12-27,89,89.49,87.58,88.63,19422607
2024-12-30,86.985,87.05,84.58,85.31,22022912
2024-12-31,85.44,86.4,84.09,84.16,18691546
2025-01-02,84.98,87.65,84.74,87.33,18859957
2025-01-03,87.95,90.195,87.51,89.87,17484588
2025-01-06,95.565,101.52,95.48,99.26,42903278
2025-01-07,103.41,106.7399,101.16,101.91,53570014
2025-01-08,102.82,103.475,98.3,99.41,33516888
2025-01-10,98.115,100.78,96.87,99.34,20512560
2025-01-13,95.84,96,92.88,95.06,22699139
2025-01-14,97.05,97.41,95.38,97.36,18613447
2025-01-15,99.44,103.9299,99.35,103.19,27568126
2025-01-16,104.32,104.8,101.87,102.6,16243839
2025-01-17,104.64,105.88,102.5,105.75,18908887
2025-01-21,105.425,110.24,105.23,109.38,23533649
2025-01-22,109.165,110.67,107.76,109.23,20004316
2025-01-23,104.79,106.18,103.3501,104.84,22677612
2025-01-24,105.5,105.72,102.72,103.19,19743841
2025-01-27,94.86,96.1,88.36,91.11,50696163
2025-01-28,92.605,93.45,88.04,88.25,34793604
2025-01-29,89.88,90.45,87.76,89.01,25342802
2025-01-30,90.66,93.16,90.3,92.5,22497086
2025-01-31,91.65,94.27,91.14,91.24,20540227
2025-02-03,88.65,91.4,88.0193,89.92,18607873
2025-02-04,89.05,91.45,88.8001,90.66,12827497
2025-02-05,90.385,93.65,90.22,93.6,15684526
2025-02-06,94.88,96.6088,93.58,94.54,16141135
2025-02-07,95.59,95.93,91.59,92.3,15602828
2025-02-10,93.185,96.26,93.17,95.93,16217948
2025-02-11,94.245,95.84,93.56,94.08,12124047
2025-02-12,89.6,92.64,87.35,91.68,22874727
2025-02-13,92.06,96.065,92.02,95.66,16579876
2025-02-14,98.41,100.6983,98,99.52,21284541
2025-02-18,102.635,107.88,102.045,106.79,29641935
2025-02-19,105.755,107.19,103.62,104.36,17875863
2025-02-20,103.98,104.85,102.34,103.18,14487950
2025-02-21,103.64,103.66,97.75,98.84,18650786
2025-02-24,100.215,100.7,95.28,95.41,14883722
2025-02-25,95.5,95.93,92.755,93.22,18608206
2025-02-26,96,99.72,95.5,97.71,21335231
2025-02-27,97.84,99.885,91.49,91.82,22386276
2025-02-28,91,94.46,89.87,93.63,23359055
2025-03-03,95.805,96.2,89.39,90.54,20281784
2025-03-04,90.2,93.59,86.8,91.2,23611503
2025-03-05,92.15,95.05,90.4301,94.34,14010312
2025-03-06,90.926,93.2896,89.0301,89.27,18708085
2025-03-07,90.29,93.34,89.49,92.96,19133938
2025-03-10,89.59,91.37,85.76,87.08,21897870
2025-03-11,87.9,91.1,86.0703,89.05,21962141
2025-03-12,92.47,96.99,92.24,95.64,23584745
2025-03-13,94.25,98.12,94,94.88,18824701
2025-03-14,98.75,102.78,98.75,100.79,24623572
2025-03-17,101.06,104.45,100.96,103.11,17095050
2025-03-18,101.9,103.31,100.29,101.72,18434126
2025-03-19,100.82,103.6,100.49,102.06,16633077
